business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,data_quality
10373,El Tonayense #1,1717 Harrison St,San Francisco,CA,,37.769426,-122.413446,"(37.769426, -122.413446)",14155556127,10373_20180612,06/12/2018 12:00:00 AM,88.0,Routine - Unscheduled,10373_20180612_103156,Permit license or inspection report not posted,Low Risk,low
10376,Good Frikin Chicken,10 29th St,San Francisco,CA,,37.744369,-122.420967,"(37.744369, -122.420967)",,10376_20171226,12/26/2017 12:00:00 AM,91.0,Routine - Unscheduled,10376_20171226_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,low
10377,AT&T - FAB FRY BREAD (LOWER CENTER FIELD) [147480],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155904138,10377_20160814,08/14/2016 12:00:00 AM,92.0,Routine - Unscheduled,10377_20160814_103156,Permit license or inspection report not posted,Low Risk,low
10406,Sunset Youth Services,3918 Judah St,San Francisco,CA,,37.76056,-122.504027,"(37.76056, -122.504027)",,10406_20161024,10/24/2016 12:00:00 AM,100.0,Routine - Unscheduled,,,,medium
1042,,553 HAIGHT St,San Francisco,CA,94117,37.771964,-122.431336,"(37.771964, -122.431336)",14155258190,1042_20171211,12/11/2017 12:00:00 AM,92.0,Routine - Unscheduled,1042_20171211_103131,Moderate risk vermin infestation,Moderate Risk,low
1043,,1696 HAYES St,San Francisco,CA,94117,37.774198,-122.444214,"(37.774198, -122.444214)",,1043_20180928,09/28/2018 12:00:00 AM,83.0,Routine - Unscheduled,1043_20180928_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,low
10433,Cafe La Taza,470 Post St,San Francisco,CA,94102,37.788128,-122.409705,"(37.788128, -122.409705)",,10433_20161026,10/26/2016 12:00:00 AM,90.0,Routine - Unscheduled,10433_20161026_103144,Unapproved or unmaintained equipment or utensils,Low Risk,medium
10438,Piraat Pizza,696 Sutter St,San Francisco,CA,94102,37.788858,-122.411754,"(37.788858, -122.411754)",,10438_20161207,12/07/2016 12:00:00 AM,92.0,Routine - Unscheduled,10438_20161207_103131,Moderate risk vermin infestation,Moderate Risk,medium
1047,,1451 HAIGHT St,San Francisco,CA,94117,37.770063,-122.446247,"(37.770063, -122.446247)",14155866981,1047_20180914,09/14/2018 12:00:00 AM,84.0,Reinspection/Followup,1047_20180914_103154,Unclean or degraded floors walls or ceilings,Low Risk,low
10540,Slanted Door Restaurant,1 Ferry Building #3,San Francisco,CA,94111,37.795225,-122.39377,"(37.795225, -122.39377)",66292192067,10540_20180720,07/20/2018 12:00:00 AM,87.0,Reinspection/Followup,10540_20160729_103109,Unclean or unsanitary food contact surfaces,High Risk,low
10615,Rulli Risto-Bar,2300 Chestnut St.,San Francisco,CA,94123,37.800188,-122.441454,"(37.800188, -122.441454)",14155927478,10615_20160713,07/13/2016 12:00:00 AM,96.0,Routine - Unscheduled,10615_20160713_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,high
10625,Boxed Foods Company,245 Kearny St,San Francisco,CA,94108,37.790453,-122.403994,"(37.790453, -122.403994)",3242454141,10625_20170927,09/27/2017 12:00:00 AM,79.0,Routine - Unscheduled,10625_20170927_103157,Food safety certificate or food handler card not available,Low Risk,high
1065,,2814 19th St,San Francisco,CA,94110,37.760487,-122.410662,"(37.760487, -122.410662)",,1065_20170926,09/26/2017 12:00:00 AM,81.0,Reinspection/Followup,1065_20170906_103145,Improper storage of equipment utensils or linens,Low Risk,low
10668,A16,2355 CHESTNUT ST,San Francisco,CA,94123,37.800043,-122.442097,"(37.800043, -122.442097)",14155227444,10668_20160615,06/15/2016 12:00:00 AM,96.0,Routine - Unscheduled,10668_20160615_103154,Unclean or degraded floors walls or ceilings,Low Risk,high
1075,,2029 MISSION St,San Francisco,CA,94110,37.764384,-122.419566,"(37.764384, -122.419566)",14155433811,1075_20160122,01/22/2016 12:00:00 AM,90.0,Reinspection/Followup,1075_20160111_103154,Unclean or degraded floors walls or ceilings,Low Risk,low
1081,,509 VALENCIA St,San Francisco,CA,94110,37.764744,-122.421803,"(37.764744, -122.421803)",14155251303,1081_20180523,05/23/2018 12:00:00 AM,94.0,Routine - Unscheduled,1081_20180523_103157,Food safety certificate or food handler card not available,Low Risk,low
1085,,333 MARKET St,San Francisco,CA,94105,37.792037,-122.397852,"(37.792037, -122.397852)",,1085_20171207,12/07/2017 12:00:00 AM,96.0,Routine - Unscheduled,1085_20171207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,low
10875,Brendas Meat & Three,919 DIVISADERO ST,San Francisco,CA,94115,37.778194,-122.438474,"(37.778194, -122.438474)",14155928657,10875_20171221,12/21/2017 12:00:00 AM,90.0,Complaint,10875_20180411_103131,Moderate risk vermin infestation,Moderate Risk,high
10877,CHINA FIRST INC.,336 CLEMENT ST,San Francisco,CA,94118,37.783038,-122.462982,"(37.783038, -122.462982)",,10877_20160623,06/23/2016 12:00:00 AM,81.0,Routine - Unscheduled,10877_20160623_103120,Moderate risk food holding temperature,Moderate Risk,medium
10886,Taste of Formosa INC,2428 CLEMENT ST,San Francisco,CA,94121,37.782018,-122.485421,"(37.782018, -122.485421)",14155666368,10886_20160318,03/18/2016 12:00:00 AM,70.0,Routine - Unscheduled,10886_20160318_103133,Foods not protected from contamination,Moderate Risk,high
1090,,590 Washington St,San Francisco,CA,94111,37.795614,-122.403104,"(37.795614, -122.403104)",,1090_20160426,04/26/2016 12:00:00 AM,100.0,Routine - Unscheduled,1090_20170504_103148,No thermometers or uncalibrated thermometers,Low Risk,low
10931,ROYAL GROUND COFFEE,3101 Geary Blvd,San Francisco,CA,94118,37.781736,-122.452151,"(37.781736, -122.452151)",,10931_20160309,03/09/2016 12:00:00 AM,80.0,Routine - Unscheduled,10931_20160309_103142,Unclean nonfood contact surfaces,Low Risk,low
10986,7-Eleven Store 2231-33437T,217 Sutter St,San Francisco,CA,94108,37.789721,-122.404268,"(37.789721, -122.404268)",,10986_20160810,08/10/2016 12:00:00 AM,92.0,Routine - Unscheduled,10986_20160810_103150,Improper or defective plumbing,Low Risk,medium
10990,Tak Kee Lee Restaurant,2435 Noriega St,San Francisco,CA,94122,37.753623,-122.489929,"(37.753623, -122.489929)",,10990_20161114,11/14/2016 12:00:00 AM,84.0,Routine - Unscheduled,10990_20161114_103131,Moderate risk vermin infestation,Moderate Risk,low
1103,,4094 18th St,San Francisco,CA,94114,37.760938,-122.434692,"(37.760938, -122.434692)",,1103_20160805,09/14/2018 12:00:00 AM,96.0,Routine - Unscheduled,1103_20180914_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,low
11034,RITA'S CATERING TRUCK,100 Alemany Blvd,San Francisco,CA,94112,37.736917,-122.40892,"(37.736917, -122.40892)",,11034_20160121,01/21/2016 12:00:00 AM,,Reinspection/Followup,11034_20160121_103150,Improper or defective plumbing,Low Risk,low
1111,,753 POLK St,San Francisco,CA,94109,37.783713,-122.419357,"(37.783713, -122.419357)",14155921055,1111_20160621,06/21/2016 12:00:00 AM,87.0,Routine - Unscheduled,1111_20160621_103150,Improper or defective plumbing,Low Risk,low
1122,,2132 CHESTNUT St,San Francisco,CA,94123,37.800547,-122.438494,"(37.800547, -122.438494)",,1122_20171214,12/14/2017 12:00:00 AM,94.0,Routine - Unscheduled,1122_20171214_103150,Improper or defective plumbing,Low Risk,low
1124,,3600 16th St,San Francisco,CA,94114,37.764248,-122.433392,"(37.764248, -122.433392)",,1124_20171205,12/05/2017 12:00:00 AM,89.0,Reinspection/Followup,1124_20171205_103150,Improper or defective plumbing,Low Risk,low
1125,,022 Battery St,San Francisco,CA,94111,37.791554,-122.399565,"(37.791554, -122.399565)",,1125_20160527,05/27/2016 12:00:00 AM,96.0,Routine - Unscheduled,1125_20160527_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,low
1127,,555 California St,San Francisco,CA,94104,37.792773,-122.403567,"(37.792773, -122.403567)",,1127_20160615,06/15/2016 12:00:00 AM,94.0,Routine - Unscheduled,1127_20160615_103142,Unclean nonfood contact surfaces,Low Risk,low
11289,STARBUCKS,280 KING STREET,San Francisco,CA,94107,37.776805,-122.393789,"(37.776805, -122.393789)",,11289_20160805,08/05/2016 12:00:00 AM,90.0,New Construction,11289_20180307_103148,No thermometers or uncalibrated thermometers,Low Risk,medium
11304,HIDIVE,PIER 28 1/2,San Francisco,CA,94105,37.787914,-122.387718,"(37.787914, -122.387718)",,11304_20160819,08/19/2016 12:00:00 AM,90.0,Routine - Unscheduled,11304_20160819_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,low
1135,,2500 GEARY Blvd,San Francisco,CA,94115,37.782778,-122.444744,"(37.782778, -122.444744)",,1135_20180814,08/14/2018 12:00:00 AM,96.0,Complaint,1135_20180814_103144,Unapproved or unmaintained equipment or utensils,Low Risk,low
11365,LE PETITT'S KITCHEN,265 GOLDEN GATE AVE,San Francisco,CA,94109,37.78169,-122.414823,"(37.78169, -122.414823)",,11365_20170414,04/14/2017 12:00:00 AM,98.0,Complaint,11365_20180425_103154,Unclean or degraded floors walls or ceilings,Low Risk,medium
11379,ALAMO SQUARE MARKET,535 SCOTT ST,San Francisco,CA,94117,37.774824,-122.436094,"(37.774824, -122.436094)",,11379_20180515,05/15/2018 12:00:00 AM,85.0,Reinspection/Followup,11379_20160928_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,medium
1139,,28 VAN NESS,San Francisco,CA,94102,37.775867,-122.419356,"(37.775867, -122.419356)",14155430177,1139_20160629,06/29/2016 12:00:00 AM,80.0,Reinspection/Followup,1139_20160620_103103,High risk food holding temperature,High Risk,low
11416,El Beach Burrito,3914 Judah St,San Francisco,CA,,37.760851,-122.503998,"(37.760851, -122.503998)",,11416_20160502,05/02/2016 12:00:00 AM,94.0,Routine - Unscheduled,11416_20160502_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,low
1144,,1475 Polk St,San Francisco,CA,94109,37.790324,-122.420664,"(37.790324, -122.420664)",,1144_20160929,09/29/2016 12:00:00 AM,79.0,Routine - Unscheduled,1144_20160929_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,low
1146,,2327 Polk St,San Francisco,CA,94109,37.798274,-122.422264,"(37.798274, -122.422264)",+82-2-7295598,1146_20180223,02/23/2018 12:00:00 AM,77.0,Routine - Unscheduled,1146_20180223_103103,High risk food holding temperature,High Risk,low
1147,,501 Buckingham Way,San Francisco,CA,94132,37.730105,-122.478441,"(37.730105, -122.478441)",14155680331,1147_20160422,04/22/2016 12:00:00 AM,98.0,Routine - Unscheduled,1147_20160422_103154,Unclean or degraded floors walls or ceilings,Low Risk,low
11487,AT&T - GHIRARDELLI CHOCOLATE CO. (CLUB LEVEL) [147802],24 WILLIE MAYS PL,San Francisco,CA,94107,,,,,11487_20160814,08/14/2016 12:00:00 AM,100.0,Routine - Unscheduled,11487_20180911_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,low
11488,AT&T - GHIRARDELLI CHOCOLATE CO. (VIEW LEVEL) [147802],24 Willie Mays Pl,San Francisco,CA,94107,,,,,11488_20160814,08/14/2016 12:00:00 AM,100.0,Routine - Unscheduled,11488_20180911_103121,Inadequate procedures or records for time as a public health control,Moderate Risk,low
11491,Boulette's Larder,1 Ferry Building,San Francisco,CA,94111,37.795184,-122.393819,"(37.795184, -122.393819)",,11491_20160330,03/30/2016 12:00:00 AM,100.0,Routine - Unscheduled,,,,medium
11492,Burgermeister,759 Columbus Ave,San Francisco,CA,94133,37.801696,-122.412257,"(37.801696, -122.412257)",,11492_20160219,02/19/2016 12:00:00 AM,88.0,Routine - Unscheduled,11492_20160219_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,medium
1151,,1793 CHURCH St,San Francisco,CA,94131,37.742325,-122.426476,"(37.742325, -122.426476)",,1151_20160505,05/05/2016 12:00:00 AM,90.0,Routine - Unscheduled,1151_20160505_103154,Unclean or degraded floors walls or ceilings,Low Risk,low
1154,,506 Valencia St,San Francisco,CA,94103,37.764678,-122.421905,"(37.764678, -122.421905)",14155625023,1154_20160912,09/12/2016 12:00:00 AM,76.0,Routine - Unscheduled,1154_20160912_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,low
1156,,"170 O'Farrell St, 1st Floor",San Francisco,CA,94102,37.786548,-122.407313,"(37.786548, -122.407313)",,1156_20160401,04/01/2016 12:00:00 AM,92.0,Routine - Unscheduled,1156_20160401_103157,Food safety certificate or food handler card not available,Low Risk,low
11568,Mijita,1 Ferry Building,San Francisco,CA,94111,37.795225,-122.39377,"(37.795225, -122.39377)",,11568_20161018,10/18/2016 12:00:00 AM,,Reinspection/Followup,11568_20160803_103120,Moderate risk food holding temperature,Moderate Risk,medium
1159,,1797 Haight St,San Francisco,CA,94117,37.769363,-122.451667,"(37.769363, -122.451667)",14155667717,1159_20180411,04/11/2018 12:00:00 AM,78.0,Non-inspection site visit,1159_20170131_103114,High risk vermin infestation,High Risk,low
11594,The Grand Nightclub,520 4th St,San Francisco,CA,94107,37.779237,-122.397709,"(37.779237, -122.397709)",,11594_20180315,03/15/2018 12:00:00 AM,96.0,Routine - Unscheduled,11594_20180315_103131,Moderate risk vermin infestation,Moderate Risk,medium
11610,On Lok,225 30th St,San Francisco,CA,94131,37.742129,-122.425006,"(37.742129, -122.425006)",14155644359,11610_20161227,12/27/2016 12:00:00 AM,90.0,Routine - Unscheduled,11610_20161227_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,high
11860,Colibri Mexican Bistro,438 Geary St,San Francisco,CA,94102,37.787098,-122.410594,"(37.787098, -122.410594)",,11860_20160331,03/31/2016 12:00:00 AM,88.0,Routine - Unscheduled,11860_20160331_103150,Improper or defective plumbing,Low Risk,medium
1188,,776 Arguello Blvd,San Francisco,CA,94118,37.775723,-122.458445,"(37.775723, -122.458445)",,1188_20161109,11/09/2016 12:00:00 AM,100.0,Routine - Unscheduled,,,,low
1191,,0537 BALBOA St,San Francisco,CA,94118,37.77714,-122.464412,"(37.77714, -122.464412)",14150521330,1191_20170202,02/02/2017 12:00:00 AM,92.0,Routine - Unscheduled,1191_20170202_103144,Unapproved or unmaintained equipment or utensils,Low Risk,low
1193,,3419 CALIFORNIA St,San Francisco,CA,94118,37.786754,-122.450476,"(37.786754, -122.450476)",,1193_20160729,07/29/2016 12:00:00 AM,96.0,New Construction,1193_20181009_103154,Unclean or degraded floors walls or ceilings,Low Risk,low
1194,,3585 CALIFORNIA St,San Francisco,CA,94118,37.786453,-122.452807,"(37.786453, -122.452807)",,1194_20181001,10/01/2018 12:00:00 AM,100.0,Routine - Unscheduled,1194_20161017_103120,Moderate risk food holding temperature,Moderate Risk,low
1199,,3440 GEARY Blvd,San Francisco,CA,94118,37.781507,-122.456176,"(37.781507, -122.456176)",,1199_20160414,04/14/2016 12:00:00 AM,90.0,Routine - Unscheduled,1199_20160414_103120,Moderate risk food holding temperature,Moderate Risk,low
12005,PORTOLA BAPTIST CHURCH,225 PIOCHE STREET,San Francisco,CA,94112,37.728469,-122.420606,"(37.728469, -122.420606)",,12005_20171012,10/12/2017 12:00:00 AM,98.0,Routine - Unscheduled,12005_20171012_103145,Improper storage of equipment utensils or linens,Low Risk,low
1203,,4403 GEARY Blvd,San Francisco,CA,94118,37.780834,-122.46659,"(37.780834, -122.46659)",,1203_20180802,08/02/2018 12:00:00 AM,77.0,Routine - Unscheduled,1203_20180802_103132,Improper thawing methods,Moderate Risk,low
1204,,5301 GEARY Blvd,San Francisco,CA,94121,37.780394,-122.47641,"(37.780394, -122.47641)",,1204_20171222,12/22/2017 12:00:00 AM,92.0,New Construction,1204_20160209_103154,Unclean or degraded floors walls or ceilings,Low Risk,low
12083,OOLA RESTAURANT & BAR,860A FOLSOM STREET,San Francisco,CA,94103,37.78093,-122.402669,"(37.78093, -122.402669)",,12083_20180626,06/26/2018 12:00:00 AM,83.0,Routine - Unscheduled,12083_20180626_103103,High risk food holding temperature,High Risk,low
1219,PAZZO on Henry St,2 HENRY ADAMS St,San Francisco,CA,94103,37.769287,-122.403974,"(37.769287, -122.403974)",14155556315,1219_20161031,10/31/2016 12:00:00 AM,91.0,Routine - Unscheduled,1219_20161031_103103,High risk food holding temperature,High Risk,high
12199,El Gallo Giro,3055 23rd St,San Francisco,CA,,37.754218,-122.413285,"(37.754218, -122.413285)",14155572661,12199_20160628,06/28/2016 12:00:00 AM,92.0,Routine - Unscheduled,12199_20160628_103154,Unclean or degraded floors walls or ceilings,Low Risk,medium
12285,Peet's Coffee Kiosk,1580 Valencia St,San Francisco,CA,94110,37.748118,-122.420474,"(37.748118, -122.420474)",,12285_20160727,07/27/2016 12:00:00 AM,100.0,Routine - Unscheduled,,,,low
1231,Yamo Restaurant San Francisco,3406 18th St,San Francisco,CA,94110,37.761882,-122.419599,"(37.761882, -122.419599)",,1231_20160420,04/20/2016 12:00:00 AM,88.0,Routine - Unscheduled,1231_20160420_103144,Unapproved or unmaintained equipment or utensils,Low Risk,medium
1232,Sunflower Cafe San Francisco,284 O'Farrell St,San Francisco,CA,94102,37.786316,-122.409371,"(37.786316, -122.409371)",,1232_20160523,05/23/2016 12:00:00 AM,98.0,Routine - Unscheduled,1232_20160523_103156,Permit license or inspection report not posted,Low Risk,medium
12344,The Village Market & Pizza,750 Font Blvd,San Francisco,CA,,37.723462,-122.483012,"(37.723462, -122.483012)",14155374525,12344_20160511,05/11/2016 12:00:00 AM,96.0,Routine - Unscheduled,12344_20160511_103120,Moderate risk food holding temperature,Moderate Risk,low
1241,Banwich San Francisco,1105 TARAVAL St,San Francisco,CA,94116,37.742895,-122.477898,"(37.742895, -122.477898)",,1241_20160523,05/23/2016 12:00:00 AM,90.0,Routine - Unscheduled,1241_20160523_103120,Moderate risk food holding temperature,Moderate Risk,low
1243,JAVA SUPREME San Francisco,0703 GUERRERO St,San Francisco,CA,94110,37.759934,-122.423553,"(37.759934, -122.423553)",14155201832,1243_20180522,05/22/2018 12:00:00 AM,94.0,Routine - Unscheduled,1243_20180522_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,low
1249,KABABAYAN FAST FOOD San Francisco,2706 MISSION St,San Francisco,CA,94110,37.753691,-122.418657,"(37.753691, -122.418657)",14155929635,1249_20180515,05/15/2018 12:00:00 AM,74.0,Routine - Unscheduled,1249_20180515_103109,Unclean or unsanitary food contact surfaces,High Risk,high
1261,REVERIE COFFEE CAFE on COLE St,848 COLE St,San Francisco,CA,94117,37.766097,-122.449997,"(37.766097, -122.449997)",14155240200,1261_20171212,12/12/2017 12:00:00 AM,88.0,Reinspection/Followup,1261_20171212_103139,Improper food storage,Low Risk,high
1262,"NORTH BEACH PIZZA, STANYAN St",800 STANYAN St,San Francisco,CA,94117,37.767286,-122.453075,"(37.767286, -122.453075)",14155752300,1262_20171215,12/15/2017 12:00:00 AM,90.0,Routine - Unscheduled,1262_20171215_103144,Unapproved or unmaintained equipment or utensils,Low Risk,low
1263,"LAVA JAVA, STANYAN St",852 STANYAN St,San Francisco,CA,94117,37.766812,-122.452974,"(37.766812, -122.452974)",14155757375,1263_20171201,12/01/2017 12:00:00 AM,94.0,Routine - Unscheduled,1263_20171201_103120,Moderate risk food holding temperature,Moderate Risk,high
1265,"STARBUCKS COFFEE CO., STANYAN St",744 IRVING St,San Francisco,CA,94122,37.764088,-122.465981,"(37.764088, -122.465981)",14155850888,1265_20160603,06/03/2016 12:00:00 AM,98.0,Routine - Unscheduled,,,,medium
12682,Jewish Community High School of the Bay,1835 Ellis St.,San Francisco,CA,94115,37.781813,-122.436381,"(37.781813, -122.436381)",,12682_20170428,04/28/2017 12:00:00 AM,,Complaint Reinspection/Followup,,,,medium
1269,"STARBUCKS, STANYAN St",201 SPEAR St,San Francisco,CA,94105,37.790944,-122.392051,"(37.790944, -122.392051)",,1269_20180904,09/04/2018 12:00:00 AM,92.0,Routine - Unscheduled,1269_20180904_103154,Unclean or degraded floors walls or ceilings,Low Risk,medium
1274,MORNING DUE,Unnamed ST,San Francisco,CA,94104,37.762939,-122.428473,"(37.762939, -122.428473)",14155627156,1274_20180809,08/09/2018 12:00:00 AM,86.0,Routine - Unscheduled,1274_20180809_103145,Improper storage of equipment utensils or linens,Low Risk,low
12768,VASQUEZ COFFEE CO,50 MENDELL STREET #1,San Francisco,CA,94124,37.743419,-122.383536,"(37.743419, -122.383536)",,12768_20160713,07/13/2016 12:00:00 AM,92.0,Routine - Unscheduled,12768_20160713_103156,Permit license or inspection report not posted,Low Risk,medium
12788,LA TERRA,511 HARRISON STREET,San Francisco,CA,94105,37.785856,-122.393158,"(37.785856, -122.393158)",,12788_20171012,10/12/2017 12:00:00 AM,96.0,Non-inspection site visit,12788_20171017_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,medium
1280,AMASIA HIDE'S SUSHI BAR,Unnamed ST,San Francisco,CA,94114,37.766774,-122.433306,"(37.766774, -122.433306)",9838427011,1280_20180327,03/27/2018 12:00:00 AM,92.0,Routine - Unscheduled,1280_20180327_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,high
1289,ORPHAN ANDY'S,Unnamed ST,San Francisco,CA,94114,37.758132,-122.435614,"(37.758132, -122.435614)",,1289_20161206,12/06/2016 12:00:00 AM,94.0,Routine - Unscheduled,1289_20161206_103133,Foods not protected from contamination,Moderate Risk,low
1294,ANCHOR OYSTER BAR INC.,Unnamed ST,San Francisco,CA,94114,37.759613,-122.434817,"(37.759613, -122.434817)",14155433990,1294_20171213,12/13/2017 12:00:00 AM,93.0,Reinspection/Followup,1294_20170106_103102,Unclean hands or improper use of gloves,High Risk,low
